id,Tier,Championship,Sub_Champ,Championship_ID,Car_Class,Car_ID,Style,Num of Races,Race_Time,Game,Max_Opp,Min_Opp,Start_Type,Prestige
45,4,Vintage IMSA,Nissan GTP,VIMSA,84,,Sports Car,10,40,Iracing,40,20,Rolling,80
46,4,Proto/GT,Ford GT,PGT,98,,Sports Car,10,30,Iracing,40,15,Rolling,80
1015,4,IMSA,LMP2,IMSA,9010,,Sports Car,12,45,AMS2,32,20,Rolling,80
51,4,INDY NXT,,INXT,4089,,80R/20O,10,30,Iracing,24,12,Rolling,85
1025,4,Formula 2,,F2,9024,,Open Wheel,10,35,AMS2,22,12,Standing,85
1031,4,O'Reilly Auto Parts,,O'Reilly Auto Parts,9030,,20R/80O,10,30,AMS2,32,26,Rolling,85
1037,5,Super Trophy Truck,,STT,9035,,Rallycross,12,30,AMS2,20,18,Standing,85
47,4,GTE,,GTE,100,,Sports Car,10,45,Iracing,30,12,Rolling,81
52,4,NASCAR O'Reilly Series,,NOS,1455,,Oval,10,45,Iracing,28,15,Rolling,90
55,4,Super Formula,,SF,4033,,Open Wheel,10,45,Iracing,25,16,Standing,90
50,4,GT3 Regionals,,GT3R,4091,,Sports Car,10,20,Iracing,20,15,Rolling,90
1016,5,IMSA,LMDh,IMSA,9015,,Sports Car,12,45,AMS2,32,20,Rolling,90
49,4,Advanced Sports Car Challenge,Ligier JS P320,ASCC,4018,,Sports Car,10,30,Iracing,40,20,Rolling,94
58,5,INDYCAR,,INDY,117,,80R/20O,12,60,Iracing,26,15,Rolling,95
1026,5,INDYCAR,,INDY,9025,,80R/20O,12,45,AMS2,24,18,Rolling,95
48,4,IMSA,P217,IMSA,2523,,Sports Car,12,45,Iracing,40,25,Rolling,95
57,5,Nascar Cup Series,,NCS,2978,,20R/80O,12,60,Iracing,30,20,Rolling,100
59,5,Formula 1,,F1,4013,,Open Wheel,12,60,Iracing,22,18,Standing,100
1027,5,Formula 1,,F1,9026,,Open Wheel,12,60,AMS2,20,18,Standing,100
1032,5,Nascar Cup Series,,NCS,9031,,20R/80O,12,45,AMS2,32,28,Rolling,100
56,5,IMSA,GTP,IMSA,4029,,Sports Car,12,45,Iracing,40,25,Rolling,100
1040,4,Group C,,GroupC,9039,,Sports Car,8,40,AMS2,36,15,Rolling,65
